Image,Metric,Num Boxes,Time (s)
1,Selective Search,100,8.194038152694702
1,Edge Detection,100,0.536405086517334
1,Selective Search,150,8.004380226135254
1,Edge Detection,150,0.5174930095672607
1,Selective Search,200,8.284467935562134
1,Edge Detection,200,0.526015043258667
1,Selective Search,250,8.03870177268982
1,Edge Detection,250,0.5564391613006592
1,Selective Search,300,8.12584900856018
1,Edge Detection,300,0.5242869853973389
1,Selective Search,350,8.173629999160767
1,Edge Detection,350,0.5222220420837402
1,Selective Search,400,8.105769872665405
1,Edge Detection,400,0.5256359577178955
1,Selective Search,450,8.203282833099365
1,Edge Detection,450,0.5273079872131348
1,Selective Search,500,8.056922912597656
1,Edge Detection,500,0.5198256969451904
1,Selective Search,550,8.226799964904785
1,Edge Detection,550,0.5178329944610596
1,Selective Search,600,8.221666097640991
1,Edge Detection,600,0.5324559211730957
1,Selective Search,650,8.168399095535278
1,Edge Detection,650,0.5276939868927002
1,Selective Search,700,8.093346118927002
1,Edge Detection,700,0.5218849182128906
1,Selective Search,750,8.321483850479126
1,Edge Detection,750,0.5170440673828125
1,Selective Search,800,8.244760990142822
1,Edge Detection,800,0.5208258628845215
1,Selective Search,850,8.12016487121582
1,Edge Detection,850,0.5341260433197021
1,Selective Search,900,8.114747047424316
1,Edge Detection,900,0.5436441898345947
1,Selective Search,950,8.23635196685791
1,Edge Detection,950,0.518944263458252
1,Selective Search,1000,8.384941101074219
1,Edge Detection,1000,0.5405468940734863
1,Selective Search,1050,8.188540935516357
1,Edge Detection,1050,0.5525219440460205
1,Selective Search,1100,8.17679214477539
1,Edge Detection,1100,0.5787968635559082
1,Selective Search,1150,8.345792055130005
1,Edge Detection,1150,0.5195238590240479
1,Selective Search,1200,8.369049072265625
1,Edge Detection,1200,0.5332920551300049
1,Selective Search,1250,8.28943395614624
1,Edge Detection,1250,0.5285639762878418
1,Selective Search,1300,8.23064923286438
1,Edge Detection,1300,0.5391497611999512
1,Selective Search,1350,8.20879602432251
1,Edge Detection,1350,0.5216670036315918
1,Selective Search,1400,8.26968502998352
1,Edge Detection,1400,0.5413601398468018
1,Selective Search,1450,8.33729600906372
1,Edge Detection,1450,0.5292179584503174
1,Selective Search,1500,8.22832202911377
1,Edge Detection,1500,0.5268230438232422
1,Selective Search,1550,8.358647108078003
1,Edge Detection,1550,0.5222048759460449
1,Selective Search,1600,8.184818267822266
1,Edge Detection,1600,0.5211441516876221
1,Selective Search,1650,8.244316816329956
1,Edge Detection,1650,0.5322771072387695
1,Selective Search,1700,8.499335765838623
1,Edge Detection,1700,0.5538749694824219
1,Selective Search,1750,8.248288631439209
1,Edge Detection,1750,0.5309281349182129
1,Selective Search,1800,8.362762928009033
1,Edge Detection,1800,0.5487580299377441
1,Selective Search,1850,8.430811166763306
1,Edge Detection,1850,0.5432488918304443
1,Selective Search,1900,8.35545301437378
1,Edge Detection,1900,0.5569682121276855
1,Selective Search,1950,8.234482765197754
1,Edge Detection,1950,0.520545244216919
1,Selective Search,2000,8.432498931884766
1,Edge Detection,2000,0.5207328796386719
1,Selective Search,2050,8.347209930419922
1,Edge Detection,2050,0.5350251197814941
1,Selective Search,2100,8.27656078338623
1,Edge Detection,2100,0.5299081802368164
1,Selective Search,2150,8.172553062438965
1,Edge Detection,2150,0.5227060317993164
1,Selective Search,2200,8.202958822250366
1,Edge Detection,2200,0.5368978977203369
1,Selective Search,2250,8.318665027618408
1,Edge Detection,2250,0.5181112289428711
1,Selective Search,2300,8.363196849822998
1,Edge Detection,2300,0.5282862186431885
1,Selective Search,2350,8.10165786743164
1,Edge Detection,2350,0.5214078426361084
1,Selective Search,2400,8.348171710968018
1,Edge Detection,2400,0.5336072444915771
1,Selective Search,2450,8.226990222930908
1,Edge Detection,2450,0.5369968414306641
1,Selective Search,2500,8.290940284729004
1,Edge Detection,2500,0.5223097801208496
2,Selective Search,100,1.751938819885254
2,Edge Detection,100,0.46845507621765137
2,Selective Search,150,1.7623622417449951
2,Edge Detection,150,0.4560267925262451
2,Selective Search,200,1.7833409309387207
2,Edge Detection,200,0.46089601516723633
2,Selective Search,250,1.7755510807037354
2,Edge Detection,250,0.4561469554901123
2,Selective Search,300,1.7617847919464111
2,Edge Detection,300,0.46082091331481934
2,Selective Search,350,1.8651447296142578
2,Edge Detection,350,0.49493908882141113
2,Selective Search,400,1.7742900848388672
2,Edge Detection,400,0.47794270515441895
2,Selective Search,450,1.7462480068206787
2,Edge Detection,450,0.4723329544067383
2,Selective Search,500,1.7046442031860352
2,Edge Detection,500,0.4534628391265869
2,Selective Search,550,1.709704875946045
2,Edge Detection,550,0.4515500068664551
2,Selective Search,600,1.7882602214813232
2,Edge Detection,600,0.44918084144592285
2,Selective Search,650,1.699289083480835
2,Edge Detection,650,0.46090197563171387
2,Selective Search,700,1.7300317287445068
2,Edge Detection,700,0.4636657238006592
2,Selective Search,750,1.6977741718292236
2,Edge Detection,750,0.45545101165771484
2,Selective Search,800,1.6710572242736816
2,Edge Detection,800,0.45036792755126953
2,Selective Search,850,1.764134168624878
2,Edge Detection,850,0.4547767639160156
2,Selective Search,900,1.7080268859863281
2,Edge Detection,900,0.4538450241088867
2,Selective Search,950,1.761437177658081
2,Edge Detection,950,0.46361231803894043
2,Selective Search,1000,1.73518705368042
2,Edge Detection,1000,0.45667123794555664
2,Selective Search,1050,1.7275488376617432
2,Edge Detection,1050,0.4575221538543701
2,Selective Search,1100,1.7059400081634521
2,Edge Detection,1100,0.45837903022766113
2,Selective Search,1150,1.6767117977142334
2,Edge Detection,1150,0.45493006706237793
2,Selective Search,1200,1.6798839569091797
2,Edge Detection,1200,0.45951008796691895
2,Selective Search,1250,1.694303035736084
2,Edge Detection,1250,0.46054983139038086
2,Selective Search,1300,1.6548669338226318
2,Edge Detection,1300,0.4527912139892578
2,Selective Search,1350,1.6592340469360352
2,Edge Detection,1350,0.4540669918060303
2,Selective Search,1400,1.645704984664917
2,Edge Detection,1400,0.46395421028137207
2,Selective Search,1450,1.654414176940918
2,Edge Detection,1450,0.4515860080718994
2,Selective Search,1500,1.6484990119934082
2,Edge Detection,1500,0.45357728004455566
2,Selective Search,1550,1.6534671783447266
2,Edge Detection,1550,0.4535059928894043
2,Selective Search,1600,1.6492738723754883
2,Edge Detection,1600,0.45221805572509766
2,Selective Search,1650,1.6485576629638672
2,Edge Detection,1650,0.4510178565979004
2,Selective Search,1700,1.6592738628387451
2,Edge Detection,1700,0.457211971282959
2,Selective Search,1750,1.6721291542053223
2,Edge Detection,1750,0.4565849304199219
2,Selective Search,1800,1.6755428314208984
2,Edge Detection,1800,0.45195603370666504
2,Selective Search,1850,1.6392638683319092
2,Edge Detection,1850,0.45097899436950684
2,Selective Search,1900,1.693047046661377
2,Edge Detection,1900,0.4621758460998535
2,Selective Search,1950,1.6842670440673828
2,Edge Detection,1950,0.4580402374267578
2,Selective Search,2000,1.6855108737945557
2,Edge Detection,2000,0.4525279998779297
2,Selective Search,2050,1.6164898872375488
2,Edge Detection,2050,0.4491109848022461
2,Selective Search,2100,1.6457529067993164
2,Edge Detection,2100,0.445375919342041
2,Selective Search,2150,1.6123409271240234
2,Edge Detection,2150,0.4533209800720215
2,Selective Search,2200,1.6362190246582031
2,Edge Detection,2200,0.45440101623535156
2,Selective Search,2250,1.6671648025512695
2,Edge Detection,2250,0.4483072757720947
2,Selective Search,2300,1.621284008026123
2,Edge Detection,2300,0.4482872486114502
2,Selective Search,2350,1.621816873550415
2,Edge Detection,2350,0.45169830322265625
2,Selective Search,2400,1.6572749614715576
2,Edge Detection,2400,0.46216511726379395
