Image,Alpha,Beta,Min Score,Recall,MABO
2,0.1,0.2,0.31,0.0,0.0
3,0.1,0.2,0.31,0.0,0.0
4,0.1,0.2,0.31,0.0,0.0
5,0.1,0.2,0.31,0.0,0.0
6,0.1,0.2,0.31,0.0,0.0
7,0.1,0.2,0.31,0.0,0.0
8,0.1,0.2,0.31,0.0,0.0
9,0.1,0.2,0.31,0.0,0.0
10,0.1,0.2,0.31,0.0,0.0
1,0.1,0.2,0.41000000000000003,0.0,0.0
2,0.1,0.2,0.41000000000000003,0.0,0.0
3,0.1,0.2,0.41000000000000003,0.0,0.0
4,0.1,0.2,0.41000000000000003,0.0,0.0
5,0.1,0.2,0.41000000000000003,0.0,0.0
6,0.1,0.2,0.41000000000000003,0.0,0.0
7,0.1,0.2,0.41000000000000003,0.0,0.0
8,0.1,0.2,0.41000000000000003,0.0,0.0
9,0.1,0.2,0.41000000000000003,0.0,0.0
10,0.1,0.2,0.41000000000000003,0.0,0.0
1,0.1,0.2,0.51,0.0,0.0
2,0.1,0.2,0.51,0.0,0.0
3,0.1,0.2,0.51,0.0,0.0
4,0.1,0.2,0.51,0.0,0.0
5,0.1,0.2,0.51,0.0,0.0
6,0.1,0.2,0.51,0.0,0.0
7,0.1,0.2,0.51,0.0,0.0
8,0.1,0.2,0.51,0.0,0.0
9,0.1,0.2,0.51,0.0,0.0
10,0.1,0.2,0.51,0.0,0.0
1,0.1,0.2,0.61,0.0,0.0
2,0.1,0.2,0.61,0.0,0.0
3,0.1,0.2,0.61,0.0,0.0
4,0.1,0.2,0.61,0.0,0.0
5,0.1,0.2,0.61,0.0,0.0
6,0.1,0.2,0.61,0.0,0.0
7,0.1,0.2,0.61,0.0,0.0
8,0.1,0.2,0.61,0.0,0.0
9,0.1,0.2,0.61,0.0,0.0
10,0.1,0.2,0.61,0.0,0.0
1,0.1,0.2,0.7100000000000001,0.0,0.0
2,0.1,0.2,0.7100000000000001,0.0,0.0
3,0.1,0.2,0.7100000000000001,0.0,0.0
4,0.1,0.2,0.7100000000000001,0.0,0.0
5,0.1,0.2,0.7100000000000001,0.0,0.0
6,0.1,0.2,0.7100000000000001,0.0,0.0
7,0.1,0.2,0.7100000000000001,0.0,0.0
8,0.1,0.2,0.7100000000000001,0.0,0.0
9,0.1,0.2,0.7100000000000001,0.0,0.0
10,0.1,0.2,0.7100000000000001,0.0,0.0
1,0.1,0.2,0.81,0.0,0.0
2,0.1,0.2,0.81,0.0,0.0
3,0.1,0.2,0.81,0.0,0.0
4,0.1,0.2,0.81,0.0,0.0
5,0.1,0.2,0.81,0.0,0.0
6,0.1,0.2,0.81,0.0,0.0
7,0.1,0.2,0.81,0.0,0.0
8,0.1,0.2,0.81,0.0,0.0
9,0.1,0.2,0.81,0.0,0.0
10,0.1,0.2,0.81,0.0,0.0
1,0.1,0.2,0.91,0.0,0.0
2,0.1,0.2,0.91,0.0,0.0
3,0.1,0.2,0.91,0.0,0.0
4,0.1,0.2,0.91,0.0,0.0
5,0.1,0.2,0.91,0.0,0.0
6,0.1,0.2,0.91,0.0,0.0
7,0.1,0.2,0.91,0.0,0.0
8,0.1,0.2,0.91,0.0,0.0
9,0.1,0.2,0.91,0.0,0.0
10,0.1,0.2,0.91,0.0,0.0
1,0.1,0.30000000000000004,0.01,0.0,0.0799307801379568
